Player,Salary,Signed Using,Guaranteed,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
Doug McDermott,3294994,1st Round Pick,"$3,294,994",SF,26,NYK,55,1172,9.9,0.562,0.418,0.162,3.1,9.5,6.3,6,0.4,0.9,8.8,14.3,1.1,0.3,1.4,0.056,-0.6,-1.9,-2.5,-0.1
Doug McDermott,3294994,1st Round Pick,"$3,294,994",SF,26,TOT,79,1724,10.5,0.579,0.42,0.164,2.6,10.2,6.3,6.6,0.5,0.8,9.4,15,1.7,0.6,2.3,0.064,-0.7,-1.7,-2.4,-0.2
Dorian Finney-Smith,1312611,Minimum Salary,"$1,312,611",PF,24,DAL,18,344,6.3,0.468,0.595,0.155,5,13,8.9,7,1,1,15.1,14,-0.2,0.2,0,0.005,-3.5,-0.2,-3.7,-0.1
Donovan Mitchell,2621280,1st Round Pick,"$5,732,760",SG,21,UTA,75,2512,16.5,0.541,0.407,0.209,2.2,10.1,6.2,19.2,2.2,0.9,12.7,29,1.2,3.5,4.7,0.089,1.2,-0.3,0.8,1.8
Domantas Sabonis,2550000,1st Round pick,"$5,209,800",C,21,IND,70,1711,17.3,0.57,0.054,0.346,10.5,25.3,18,12.6,1,1.5,15.7,21.7,2.4,2.1,4.5,0.125,-0.8,0.4,-0.4,0.7
Dirk Nowitzki,5000000,Cap space,"$5,000,000",C,39,DAL,77,1900,16.7,0.575,0.445,0.142,1.3,25.1,12.8,10.4,1.1,2.1,6,20.5,2.6,2.2,4.9,0.123,0.1,0.3,0.4,1.2
Dion Waiters,11000000,Cap space,"$47,300,000",SG,26,MIA,30,918,10.5,0.487,0.415,0.168,1,8.5,4.7,19.8,1.3,0.8,13.7,25,-0.7,0.9,0.1,0.006,-2.1,-1.9,-4,-0.5
Dillon Brooks,815615,MLE,"$2,193,857",SF,22,MEM,78,2220,9.1,0.526,0.343,0.187,2.3,10.1,6.1,8.4,1.5,0.7,12.8,17.9,-0.3,1.1,0.9,0.018,-2.2,-1.3,-3.4,-0.8
Deyonta Davis,1312611,Cap Space,"$2,857,562",C,21,MEM,58,841,16.7,0.624,0,0.23,9,21.7,15.2,7.3,0.8,3.9,10.1,15.4,1.7,0.8,2.5,0.142,-1.3,0.5,-0.8,0.3
Dewayne Dedmon,6000000,Cap space,"$6,000,000",C,28,ATL,59,1458,15.7,0.599,0.301,0.166,7.4,28.1,17.8,9.2,1.3,2.7,14.8,17.1,1.6,1.7,3.3,0.11,-1.1,1.5,0.4,0.9
Devin Harris,4402546,Cap Space,"$4,402,546",PG,34,DAL,44,807,13.5,0.56,0.44,0.394,1.2,10.8,5.9,16.4,2.1,0.9,12.8,21.5,0.7,0.8,1.5,0.087,-0.5,-0.8,-1.3,0.2
Devin Harris,4402546,Cap Space,"$4,402,546",PG,34,TOT,67,1272,12.8,0.561,0.493,0.384,1,9.8,5.3,16.7,1.8,0.8,13,20.1,1.4,0.9,2.3,0.087,-0.3,-1.6,-1.8,0
Devin Harris,4402546,Cap Space,"$4,402,546",PG,34,DEN,23,465,11.6,0.563,0.6,0.364,0.7,8,4.4,17.3,1.5,0.7,13.3,17.5,0.7,0.2,0.8,0.087,0.1,-3,-2.9,-0.1
Devin Booker,2319360,1st round pick,"$5,633,725",SG,21,PHO,54,1865,18.1,0.561,0.364,0.312,1.5,12.7,7,24.5,1.2,0.6,13.9,31.6,1.9,0.5,2.4,0.063,2.9,-2.4,0.5,1.2
Derrick Williams,104059,,$0,PF,26,LAL,2,9,-3.2,0.25,0.5,0,0,11.8,5.9,0,0,0,0,18.9,0,0,0,-0.192,-11.5,-6.7,-18.2,0
Derrick White,1404600,1st Round Pick,"$3,071,760",PG,23,SAS,17,139,15.9,0.646,0.394,0.606,4,16.9,10.4,9.3,1.5,1.8,12.6,15.4,0.3,0.2,0.5,0.171,0,0.5,0.5,0.1
Derrick Walton,0,,$0,PG,22,MIA,16,147,11.3,0.525,0.68,0.24,1.5,10.7,6.1,14.6,2.4,1.7,6.7,9.1,0.2,0.2,0.4,0.13,-1.5,1,-0.4,0.1
Derrick Rose,2116955,,"$2,116,955",PG,29,MIN,5,58,16,0.481,0.091,0.091,5.9,2,4,23.3,1.7,0,10.4,29.2,0,0,0,0.009,-1.4,-4.9,-6.3,-0.1
Derrick Rose,2116955,,"$2,116,955",PG,29,CLE,16,308,11.6,0.523,0.182,0.311,3.7,6.8,5.3,13,0.5,1.1,15.7,25.6,-0.1,0,-0.1,-0.013,-3.9,-3.8,-7.6,-0.4
Derrick Rose,2116955,,"$2,116,955",PG,29,TOT,21,366,12.3,0.515,0.164,0.267,4,6,5.1,14.6,0.7,0.9,14.8,26.2,-0.1,0,-0.1,-0.01,-3.5,-4,-7.4,-0.5
Álex Abrines\abrinal01,,,,SG,23,OKC,68,1055,10.1,0.56,0.724,0.144,1.9,7.1,4.5,5.5,1.7,0.6,8.3,15.9,1.2,0.9,2.1,0.096,-1.3,-0.4,-1.6,0.1
Quincy Acy\acyqu01,1790092,,,PF,26,TOT,38,558,11.8,0.565,0.529,0.353,3.9,18,11,4.9,1.2,2,9.7,16.8,0.5,0.5,0.9,0.082,-1.5,-0.6,-2.1,0
Quincy Acy\acyqu01,1790092,,,PF,26,DAL,6,48,-1.4,0.355,0.412,0.176,4.6,15.2,9.7,0,0,0,9.8,20,-0.2,0,-0.1,-0.133,-10.3,-4.1,-14.3,-0.1
Quincy Acy\acyqu01,1790092,,,PF,26,BRK,32,510,13.1,0.587,0.542,0.373,3.8,18.2,11.1,5.4,1.3,2.2,9.6,16.5,0.6,0.5,1.1,0.102,-0.6,-0.2,-0.9,0.1
Steven Adams\adamsst01,3140517,,,C,23,OKC,80,2389,16.5,0.589,0.002,0.392,13,15.4,14.2,5.4,1.8,2.6,16,16.2,3.3,3.1,6.5,0.13,-0.2,0,-0.2,1.1
Arron Afflalo\afflaar01,12500000,,,SG,31,SAC,61,1580,8.9,0.559,0.36,0.221,0.7,8.4,4.6,7.4,0.7,0.3,8.4,14.4,1.2,0.2,1.4,0.043,-2.1,-1.5,-3.6,-0.7
Alexis Ajinça\ajincal01,,,,C,28,NOP,39,584,12.9,0.529,0.022,0.225,8.3,23.8,16,3.1,1.7,3.1,13.7,17.2,0,0.9,1,0.08,-4,0.7,-3.3,-0.2
Cole Aldrich\aldrico01,7643979,,,C,28,MIN,62,531,12.7,0.549,0,0.256,11,23.9,17.4,6.4,2.4,3.7,15.1,9.4,0.6,0.7,1.3,0.116,-2.3,1.5,-0.8,0.2
LaMarcus Aldridge\aldrila01,20575005,,,PF,31,SAS,72,2335,18.6,0.532,0.053,0.258,8.5,16.6,12.7,9.9,1,3,7.7,24.5,3.5,3.7,7.2,0.149,0.7,0.1,0.8,1.7
Lavoy Allen\allenla01,4000000,,,PF,27,IND,61,871,11.6,0.485,0.006,0.196,13.7,14.5,14.1,9.1,1,2.4,13.7,10.9,0.9,0.8,1.7,0.093,-1.5,-0.2,-1.7,0.1
Tony Allen\allento01,5505618,,,SG,35,MEM,71,1914,13.3,0.493,0.091,0.218,9.6,13.8,11.7,8.4,3.1,1.4,13.3,17.9,0.2,2.9,3.1,0.077,-2,1.1,-1,0.5
Al-Farouq Aminu\aminual01,7680965,,,PF,26,POR,61,1773,11.3,0.506,0.455,0.292,4.8,23.5,14.1,7.9,1.7,2,15.2,15.4,-0.1,2,1.9,0.051,-1.4,0.4,-1.1,0.4
Chris Andersen\anderch01,980431,,,C,38,CLE,12,114,11.6,0.497,0.136,0.636,9,20.6,15,5.9,2.2,5,15.1,13,0.1,0.2,0.2,0.102,-4.7,2.2,-2.5,0
